[1]	  1   1   1
[2]	  1   2   2
[3]	  1   3   3
[4]	  1   4   4
[5]	  1   5   5
[6]	  1   6   6
[7]	  1   7   7
[8]	  1   8   8
[9]	  1   9   9
[10]	  1  10  10
[11]	  1  11  11
[12]	  2   2   2
[13]	  2   3   3
[14]	  2   4   4
[15]	  2   5   5
[16]	  2   6   6
[17]	  2   7   7
[18]	  2   8   8
[19]	  2   9   9
[20]	  2  10  10
[21]	  2  11  11
[22]	  3   3   3
[23]	  3   3   4
[24]	  3   4   4
[25]	  3   5   5
[26]	  3   6   6
[27]	  3   7   7
[28]	  3   8   8
[29]	  3   9   9
[30]	  3  10  10
[31]	  3  11  11
[32]	  4   4   4
[33]	  4   4   5
[34]	  4   5   5
[35]	  4   5   6
[36]	  4   6   6
[37]	  4   6   7
[38]	  4   7   7
[39]	  4   7   8
[40]	  4   8   8
[41]	  4   9   9
[42]	  4  10  10
[43]	  4  11  11
[44]	  5   5   5
[45]	  5   5   6
[46]	  5   5   7
[47]	  5   6   6
[48]	  5   6   7
[49]	  5   7   7
[50]	  5   7   8
[51]	  5   8   8
[52]	  5   8   9
[53]	  5   9   9
[54]	  5   9  10
[55]	  5  10  10
[56]	  5  10  11
[57]	  5  11  11
[58]	  6   6   6
[59]	  6   6   7
[60]	  6   6   8
[61]	  6   7   7
[62]	  6   7   8
[63]	  6   7   9
[64]	  6   8   8
[65]	  6   8   9
[66]	  6   9   9
[67]	  6   9  10
[68]	  6  10  10
[69]	  6  10  11
[70]	  6  11  11
[71]	  7   7   7
[72]	  7   7   8
[73]	  7   7   9
[74]	  7   8   8
[75]	  7   8   9
[76]	  7   8  10
[77]	  7   9   9
[78]	  7   9  10
[79]	  7   9  11
[80]	  7  10  10
[81]	  7  10  11
[82]	  7  11  11
[83]	  8   8   8
[84]	  8   8   9
[85]	  8   8  10
[86]	  8   8  11
[87]	  8   9   9
[88]	  8   9  10
[89]	  8   9  11
[90]	  8  10  10
[91]	  8  10  11
[92]	  8  11  11
[93]	  9   9   9
[94]	  9   9  10
[95]	  9   9  11
[96]	  9  10  10
[97]	  9  10  11
[98]	  9  11  11
[99]	 10  10  10
[100]	 10  10  11
[101]	 10  11  11
[102]	 11  11  11
